filename,class,xmin,ymin,xmax,ymax
cb3854ef-2abc-4d44-bd1f-807a38660c616894251975773876659_jpg.rf.fe42dbfb0baa092246a5155c5c1a8af0.jpg,cow,1,54,641,562
4f3cbf08-13cc-4ae9-bad0-ea7f4fc96e80497708951488040750_jpg.rf.51464bac013fbdd3d14f5f7721150d41.jpg,cow,168,128,532,360
cb279fc1-67a3-413c-b3f8-c0594bf0507a1407359993128096597_jpg.rf.1af28dc44bf89f0b8a0da97434569bb7.jpg,cow,584,310,586,312
97e0bf2d-4548-4c25-9bd7-5a867b8654153628120299591735310_jpg.rf.87b44e47722539f490b0039b7ab72106.jpg,cow,7,62,641,469
747cef5f-e7dc-4657-b0e4-225450446a631015105642126285299_jpg.rf.dba9fc8c440358dc966f99d054422fca.jpg,cow,120,48,530,336
7767de54-5853-4d5a-9fc7-15d6645723dc7080825608044658412_jpg.rf.89d7a6329e057a1527a7498cd2157d83.jpg,cow,63,86,641,549
1665a4dc-0248-4ec9-893f-e50e75dfc8d37821314284354369755_jpg.rf.97f8da1e865c02b9023e9f94a8a5d29f.jpg,cow,107,103,518,516
928d6a8c-5b8d-4ec3-8b83-e2389ad368902729064604144131813_jpg.rf.83f6dda6938a0220dc49860ac9c6660c.jpg,cow,153,42,626,581
59256bc5-ddb1-4016-b3b2-b3e1221a2ea71160493333493219791_jpg.rf.c479371d64c110b447ba61d7c01d8904.jpg,cow,26,26,641,641
eb5dce58-d051-41e7-a8ff-196704f679833106638626851828337_jpg.rf.6f0b2ee3085cf9d84da9daf57ec6ec55.jpg,cow,3,101,641,547
7b7208c8-1093-4311-8d64-4bf3d09a6e771711241905111195514_jpg.rf.48eab36aaef17aacaae143b26d56a1b9.jpg,cow,193,83,423,243
ed0db328-b059-4ac2-b53d-0cb940ec37072242929189533700322_jpg.rf.f38fa4ef4c33a44daa11fdd14c613779.jpg,cow,124,101,417,402
58f05b46-d88f-408f-8027-f34708c19ec01603650425425070628_jpg.rf.316fb523ee8c356b4937e63cbdcc3554.jpg,cow,1,40,345,406
15da7753-b782-4774-a5dc-31032631c0d97020011672904021871_jpg.rf.e18e2c34caf6a07771fa0b1bdd901c84.jpg,cow,83,231,85,231
c90311dd-bd9c-4f1b-bb1d-f5ea2c6e3b7d7865873910219307720_jpg.rf.7856c23ebbeefa07c384dede50a06c55.jpg,goat,123,157,521,398
b6b5d32a-2d97-4895-836e-cc91c61b20d3942742033595844345_jpg.rf.fad3892da945b8a902276b4be1cc7e3a.jpg,goat,55,116,385,426
54173305-966d-44ec-bf1c-9467603bb1b13745417466632214822_jpg.rf.c3323e20cf3dfa9703f85553931564fe.jpg,pig,273,296,608,467
8e887aa9-a786-4f83-8119-b7b2126e6e4f3415611391579551455_jpg.rf.98081b0efdf6cc1339f35a5e192e24c8.jpg,pig,46,11,641,641
fb4c16ca-5a8b-4dca-be12-781770a6111c5597535763984812772_jpg.rf.44514b19f1c9b564612d0dfaf3de833a.jpg,cow,128,88,546,418
415de5c4-79f9-48a0-a2c1-d9adbfae28063915919749913152279-Copy_jpg.rf.d46c191c6f5010b58ecd7dfee840b396.jpg,cow,44,93,446,353
aa96ffaa-41d8-4fb1-a1e4-6507ee824a387455776596818242137_jpg.rf.4b88c83dc303f65ff09fc75eda2071f3.jpg,cow,218,126,516,366
b4f82a50-ef4f-4d4f-8694-5947ea5f498a121837146735921840_jpg.rf.37481f2ac1e3f3643a6d8318c43fb6ae.jpg,cow,140,178,444,498
3065cd96-02cf-4d6b-9a68-0301b513ad003790327307265081730_jpg.rf.937baa014190ef2aacfac7ec436bf7e2.jpg,cow,148,81,533,350
46418acd-b049-4659-b54a-6b1be85545dd4232943409669081575_jpg.rf.77712d70febb9ffaeab8a2907ead3e68.jpg,cow,162,42,477,455
